"","lamsim","nsamp","npers","totsamp","alpha","meanlamest","stddevlamest","stderrlamest","pbiaslamest","nreps"
"134",0.1017,5,50,250,1,0.1035,0.07077,0.00158,1.73,2000
"135",0.1017,6,42,250,1,0.1028,0.0723,0.00162,1.07,2000
"136",0.2071,2,125,250,1,0.2048,0.0915,0.00205,-1.13,2000
"137",0.2071,3,83,250,1,0.2088,0.09329,0.00209,0.81,2000
"138",0.2071,4,62,250,1,0.2068,0.09534,0.00213,-0.18,2000
"139",0.2071,5,50,250,1,0.2092,0.10294,0.0023,0.98,2000
"140",0.2071,6,42,250,1,0.2126,0.10809,0.00242,2.66,2000
"141",0.4308,2,125,250,1,0.4366,0.13482,0.00301,1.34,2000
"142",0.4308,3,83,250,1,0.433,0.13458,0.00301,0.49,2000
"143",0.4308,4,62,250,1,0.4306,0.14072,0.00315,-0.06,2000
"144",0.4308,5,50,250,1,0.4298,0.14219,0.00318,-0.25,2000
"145",0.4308,6,42,250,1,0.4333,0.15394,0.00344,0.56,2000
"146",0.6755,2,125,250,1,0.6788,0.17191,0.00384,0.49,2000
"147",0.6755,3,83,250,1,0.6794,0.16718,0.00374,0.58,2000
"148",0.6755,4,62,250,1,0.6728,0.1739,0.00389,-0.4,2000
"149",0.6755,5,50,250,1,0.6782,0.18415,0.00412,0.41,2000
"150",0.6755,6,42,250,1,0.6778,0.18989,0.00425,0.34,2000
"151",0.0201,2,250,500,1,0.0242,0.01752,0.00039,20.39,2000
"152",0.0201,3,167,500,1,0.0237,0.01716,0.00038,18.24,2000
"153",0.0201,4,125,500,1,0.0239,0.01862,0.00042,18.96,2000
"154",0.0201,5,100,500,1,0.0253,0.01885,0.00042,26.27,2000
"155",0.0201,6,83,500,1,0.0246,0.0197,0.00044,22.68,2000
"156",0.0403,2,250,500,1,0.0418,0.02725,0.00061,3.68,2000
"157",0.0403,3,167,500,1,0.0422,0.02641,0.00059,4.69,2000
"158",0.0403,4,125,500,1,0.0429,0.02836,0.00063,6.55,2000
"159",0.0403,5,100,500,1,0.0432,0.03028,0.00068,7.16,2000
"160",0.0403,6,83,500,1,0.0418,0.03085,0.00069,3.84,2000
"161",0.1017,2,250,500,1,0.1019,0.04571,0.00102,0.15,2000
"162",0.1017,3,167,500,1,0.1011,0.04586,0.00103,-0.62,2000
"163",0.1017,4,125,500,1,0.1014,0.04816,0.00108,-0.37,2000
"164",0.1017,5,100,500,1,0.1013,0.04944,0.00111,-0.42,2000
