"","alpha","nsamp","lamsim","nreps","meanlamest","stddevlamest","stderrlamest","pbiaslamest","meanrawlam","stddevrawlam","stderrrawlam","pbiasrawlam","npers"
"resvec",5,200,0.0403,400,0.0391,0.01317,0.00066,-2.95,0.0288,0.00968,0.00048,-28.37,500
"resvec",5,10,0.1017,400,0.0984,0.08228,0.00411,-3.25,0.0075,0.00407,2e-04,-92.63,500
"resvec",5,20,0.1017,400,0.1023,0.05569,0.00278,0.58,0.013,0.00644,0.00032,-87.26,500
"resvec",5,40,0.1017,400,0.1012,0.04344,0.00217,-0.5,0.0236,0.0099,0.00049,-76.8,500
"resvec",5,100,0.1017,400,0.1022,0.0308,0.00154,0.47,0.0495,0.01481,0.00074,-51.31,500
"resvec",5,200,0.1017,400,0.1027,0.02287,0.00114,0.97,0.0756,0.01675,0.00084,-25.72,500
"resvec",5,10,0.2071,400,0.2022,0.11231,0.00562,-2.37,0.0129,0.00653,0.00033,-93.76,500
"resvec",5,20,0.2071,386,0.2129,0.08451,0.0043,2.77,0.026,0.00988,5e-04,-87.46,500
"resvec",5,10,0.4308,264,0.4255,0.17641,0.01086,-1.24,0.0258,0.00993,0.00061,-94.02,500
"resvec",5,10,0.6755,214,0.6835,0.21741,0.01486,1.19,0.04,0.01189,0.00081,-94.08,500
